èíslo úètu;Popis;Poznámka
SK2781800000007000536640;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo ivotného prostredia.  Úèet pre ÚVA ZV
SK9681800000007000536659;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo ivotného prostredia.   Úèet pre ÚVA KE
SK1381800000007000679094;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2881800000007000679115;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5081800000007000679107;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK3581800000007000388959;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5681800000007000693937;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2181800000007000582241;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Finanèného mechanizmu EHP na projekty
SK2481800000007000582284;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Nórskeho finanèného mechanizmu na projekty
SK4681800000007000582276;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet ŠR SR na spolufinancovanie Finanèného mechanizmu EHP
SK3981800000007000582305;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet ŠR SR na spolufinancovanie Nórskeho finanèného mechanizmu
SK0681800000007000615103;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Finanèného mechanizmu EHP – bilaterálne aktivity
SK8181800000007000615111;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Nórskeho fin. mechanizmu – bilaterálne aktivity
SK4481800000007000389185;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0381800000007000156541;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Vrátenie finanènıch prostriedkov vyplatené zo zdroja EÚ - EPUZF
SK6781800000007000535920;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Príjem z odvodov za porušenie finanènej disciplíny z rozhodnutia Správy finanènej kontroly Bratislava
SK1781800000007000535947;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Príjem z odvodov za porušenie finanènej disciplíny z rozhodnutia Správy finanènej kontroly Košice
SK9381800000007000322925;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Finanèné prostriedky vyplatené zo zdroja EÚ
SK8681800000007000071142;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Finanèné prostriedky spolufinancovania zo štátneho rozpoètu vyplatené v príslušnom kalendárnom roku
SK5281800000007000322984;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Finanèné prostriedky spolufinancovania zo štátneho rozpoètu vyplatené v minulıch rokoch
SK8981800000007000535912;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Finanèné prostriedky spolufinancovania zo štátneho rozpoètu
SK3981800000007000535939;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Príjem z odvodov za porušenie finanènej disciplíny z rozhodnutia Správy finanènej kontroly Zvolen
SK2881800000007000447285;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6681800000007000538654;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Pôdohospodárska platobná agentúra.  Úèet pre ÚVA BA
SK4481800000007000538662;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Pôdohospodárska platobná agentúra.  Úèet pre ÚVA ZV
SK2281800000007000538670;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Pôdohospodárska platobná agentúra.   Úèet pre ÚVA KE
SK1381800000007000538638;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6281800000007000538726;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6481800000007000694569;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2081800000007000694585;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4281800000007000694577;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8381800000007000245990;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet Pôdohospodárskej platobnej agentúry - Finanèné prostriedky vyplatené zo zdroja EÚ - SOP PaRV
SK7481800000007000325886;úètet pod¾a § 4 ods. 2 písm. k) zákona;Príjmovı úèet ŠR Ministerstva financií SR
SK1881800000007000536026;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9381800000007000536034;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7181800000007000536042;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4981800000007000536050;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo financií.  Úèet pre ÚVA BA
SK2181800000007000536069;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo financií.  Úèet pre ÚVA ZV
SK9681800000007000536077;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo financií.   Úèet pre ÚVA KE
SK1881800000007000536317;úètet pod¾a § 4 ods. 2 písm. k) zákona;Nezrovnalosti a iné vratky za zdroje EÚ a ŠR PRO 2014 -2020: EÚ zdroj
SK7981800000007000678294;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9481800000007000678315;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6381800000007000301737;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6981800000007000443831;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1681800000007000570400;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9681800000007000648597;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9081800000007000648802;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4281800000007000686526;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4981800000007000648861;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2081800000007000686534;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1481800000007000648909;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4581800000007000648933;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4881800000007000648976;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0481800000007000648992;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6881800000007000649004;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4981800000007000649055;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2781800000007000649354;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK0581800000007000649362;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8081800000007000649370;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5281800000007000649389;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1981800000007000649207;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4681800000007000649303;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7181800000007000649338;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2481800000007000649311;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9481800000007000648730;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2281800000007000648765;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9781800000007000648773;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7581800000007000648781;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6881800000007000648810;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1881800000007000648546;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2181800000007000648589;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK1481800000007000648618;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8981800000007000648626;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6781800000007000648634;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6781800000007000648343;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK8981800000007000648335;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK4581800000007000648351;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9281800000007000648378;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7081800000007000648386;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK7281800000007000649514;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5081800000007000649522;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK2881800000007000649530;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5781800000007000649493;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK9381800000007000648845;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA BA
SK7181800000007000648853;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA ZV
SK9681800000007000648888;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.   Úèet pre ÚVA KE
SK8981800000007000648917;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK6781800000007000648925;úètet pod¾a § 4 ods. 2 písm. k) zákona;
SK5481800000007000649450;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA BA
SK2681800000007000649469;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.  Úèet pre ÚVA ZV
SK0481800000007000649477;úètet pod¾a § 4 ods. 2 písm. k) zákona;Úèet pre odvody na základe rozhodnutí Úradu vládneho auditu (ÚVA) a úètov certifikaèného orgánu pre nezrovnalosti a vratky. Platobná jednotka - Ministerstvo investícií, regionálneho rozvoja a informatizácie.   Úèet pre ÚVA KE
SK7981800000007000649485;úètet pod¾a § 4 ods. 2 písm. k) zákona;
